club_clean,count
INDEPENDIEN,2484
UCSC,19
SARIÑENA,18
OSCENSE,15
BARBASTRO,11
OPEN NATURA,9
FRAGA,8
ERMUKO TXIRRINDULARI ELKARTEA,7
ARIZ,7
CUARTE DE HUERVA,7
ALMORZARAS,7
ALMORZAR.AS,7
BTT BONAIRE,7
BTTNOSUBOMAS,7
VELO CARLET,6
PAQUETES DE ARROYOMOLINOS,6
RUNNERS PREIXANA,6
GARRIBIKES,5
JUBIERRE,5
GUALDETXU MBTT,5
EL BICHO,5
UTEBO,5
TUR,5
PEÑA GUARA,5
ZARAUZKO ZIKLOTURISTA ELKARTEA,5
TURIASO,5
BIKE BCN,5
GRAUS,5
BTT EJEA,5
SAIDI,5
ABRERA,5
ACTUR,5
SANT CELONI,5
ENBICIPORMADRID,5
BAIX CAMP,5
BTT ZARAGOZA,4
ETXEBARRI XTREM,4
DICT BIKES,4
HUECHA,4
GER,4
EQUIPO DEPORTIVO NUTRIOBELIX,4
SURICATOS-TANDEM,4
SPORT CICLISTA BETULO,4
BIKECARDE10,4
INDEPENDIENTE,4
EL CUBIO,4
CASPOLINO,4
GARRI BIKES,4
ANDACAMINOS,4
SOSES,4
TUBULAR,4
EDELWEISS,4
SAB,4
RAVET BIKE,4
SENDERO,3
UC VILANOVA,3
BASAHUNTZAK TKT ETXEBARRI,3
OZONO,3
TEAM DISNOVA,3
SÁSTAGO,3
ORBEA SPORT,3
TÀRREGA,3
DOMINRIDERS MOZARRIFAR,3
EBRO,3
E32,3
TERRASSA BIKE B,3
SENA,3
BIRRABIKES,3
BLACKS & GREENS,3
SANTA ISABEL,3
CANTONET,3
SANT JOAN DESPÍ,3
SAIATUZ TKT,3
CICLES FANDOS,3
SERMA,3
BIKE GALLERY TEAM,3
COMPOSTELANO,3
POPPANOLIS,3
OPOZAL,3
PLANIFICAT CYCLING TEAM,3
BICILAB,3
BLACK PATA,3
BICIATS DEL GARRAF,3
E C BAIX CAMP,3
TRI+9 EL MASNOU,3
LOS LOBOS,3
BANYOLES,3
ATALAYA BIKE,3
LECIÑENA,3
ZARATANBIKES,3
LANAJA BTT,3
MIS JUEVES,3
ALEN BIKE,3
XE TIRA TU,3
JOSELITOMOUNTAINCLÚ,3
MONTBRIO DEL CAMP,3
MONTBRIÓ,3
VELEÑO,3
GETAITRI,3
ARROYOBIKERS,3
